,poa_code_2021,median_age_persons,median_tot_prsnl_inc_weekly,median_tot_fam_inc_weekly,median_tot_hhd_inc_weekly,negative_nil_income_tot,hi_1_149_tot,hi_150_299_tot,hi_300_399_tot,hi_400_499_tot,hi_500_649_tot,hi_650_799_tot,hi_800_999_tot,hi_1000_1249_tot,hi_1250_1499_tot,hi_1500_1749_tot,hi_1750_1999_tot,hi_2000_2499_tot,hi_2500_2999_tot,hi_3000_3499_tot,hi_3500_3999_tot,hi_4000_more_tot,partial_income_stated_tot,all_incomes_not_stated_tot,tot_family_households,tot_non_family_households,m_neg_nil_income_tot,m_1_149_tot,m_150_299_tot,m_300_399_tot,m_400_499_tot,m_500_649_tot,m_650_799_tot,m_800_999_tot,m_1000_1249_tot,m_1250_1499_tot,m_1500_1749_tot,m_1750_1999_tot,m_2000_2999_tot,m_3000_3499_tot,m_3500_more_tot,m_pi_ns_ns_tot,f_neg_nil_income_tot,f_1_149_tot,f_150_299_tot,f_300_399_tot,f_400_499_tot,f_500_649_tot,f_650_799_tot,f_800_999_tot,f_1000_1249_tot,f_1250_1499_tot,f_1500_1749_tot,f_1750_1999_tot,f_2000_2999_tot,f_3000_3499_tot,f_3500_more_tot,f_pi_ns_ns_tot
0,6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6067,33,341,850,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,3,0,0,9,4,0,0,3,0,0,0,0,0,0,0,0,0
2,6770,29,367,794,1066,0,8,38,35,63,45,61,65,63,65,45,44,57,37,25,9,19,73,62,576,245,83,32,274,163,56,37,31,35,45,45,30,21,49,16,14,214,72,42,251,166,107,75,35,52,59,41,42,20,39,9,0,201
3,6718,34,368,1006,1074,0,0,9,8,16,18,17,27,24,18,8,13,18,11,10,6,5,10,0,169,56,47,5,71,41,20,6,13,12,13,19,3,6,15,0,0,225,42,10,51,46,33,35,15,11,14,11,6,3,15,0,0,42
4,6765,31,386,863,1226,0,5,21,22,28,13,40,48,37,32,18,28,48,19,26,10,14,43,9,313,150,24,12,142,112,44,10,18,29,39,27,23,16,30,3,0,78,19,27,122,140,62,27,19,22,38,34,29,18,31,0,0,71
5,6473,40,425,1274,1625,6,0,0,0,0,0,7,0,0,0,0,0,5,4,0,0,0,3,0,13,3,0,0,0,3,0,0,0,0,0,7,0,0,4,0,0,3,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0
6,6489,59,458,933,710,0,0,0,3,14,0,3,7,0,0,0,6,0,0,0,0,0,0,7,22,22,3,0,0,5,11,0,0,3,0,0,0,4,0,0,0,6,3,0,0,4,3,0,4,0,0,0,0,0,5,0,0,9
7,6628,37,459,474,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6740,34,460,951,1165,11,3,15,24,16,19,27,30,36,26,28,13,41,17,17,8,12,29,17,264,129,46,14,75,57,35,27,18,22,31,30,29,12,46,14,22,135,51,19,70,75,48,40,24,21,22,28,16,13,10,8,3,87
9,6705,37,484,1312,1300,4,0,3,0,3,0,4,3,5,6,5,0,6,0,5,4,3,8,0,38,20,3,0,13,8,7,0,0,5,6,4,0,0,3,0,0,10,5,0,8,4,8,4,3,3,4,0,3,0,5,0,0,0
