post_code,installation_qty,rated_output
6000,461,3839.8779999999992
6001,3,9.34
6003,141,992.4889999999999
6004,171,1512.7239999999997
6005,154,2626.344
6006,910,4341.4
6007,638,3836.902
6008,1336,7446.954
6009,1716,9641.180999999999
6010,2023,9767.283
6011,877,4720.646
6012,875,4683.3589999999995
6013,1,0.375
6014,2249,12172.588000000002
6015,859,4615.424999999999
6016,952,4278.861
6017,437,7080.381
6018,5115,22694.578999999998
6019,1970,8810.32
6020,3448,15388.976
6021,2701,14591.496999999998
6022,957,3542.187000000001
6023,2747,11766.59
6024,2563,9712.221
6025,5556,22508.298000000003
6026,4697,18555.164
6027,7464,32384.952999999994
6028,4480,20975.583000000002
6029,356,1632.865
6030,7406,29978.120000000003
6031,3491,16646.612999999998
6032,44,394.255
6033,97,1110.665
6034,786,3369.9120000000003
6035,2218,9885.195999999998
6036,2678,12515.985999999999
6037,868,3845.956
6038,2153,9320.353
6041,503,2309.195
6042,30,123.79499999999999
6043,70,272.9150000000001
6044,358,1579.2480000000003
6050,1515,7707.732
6051,894,3797.154
6052,1277,5869.785999999999
6053,2058,10339.750000000002
6054,3092,13754.296000000002
6055,6115,33428.149000000005
6056,6869,32472.662999999997
6057,3132,12743.702999999998
6058,2663,11214.242
6059,3140,13484.153999999997
6060,1925,8483.354000000001
6061,3495,13467.101
6062,4623,21459.393999999997
6063,2649,10958.355999999998
6064,4592,17774.067
6065,13518,66718.494
6066,3361,13790.355000000001
6067,2,92.22
6068,18,257.02
6069,8858,41079.189
6070,671,2833.643
6071,620,2660.9629999999997
6072,179,701.9030000000001
6073,611,3055.474
6074,220,929.8069999999999
6076,4113,18884.666999999998
6077,394,2798.711
6078,160,1349.714
6079,3,19.825
6081,888,3963.687
6082,616,2657.691
6083,828,3672.095
6084,1967,10411.436000000002
6090,388,8288.836999999998
6100,1267,6801.686999999999
6101,1783,8068.326000000001
6102,1046,5294.084
6103,826,3588.797
6104,1797,9999.460000000001
6105,1832,9440.846000000001
6106,218,6778.209999999999
6107,6702,30806.059
6108,4333,16278.859999999999
6109,2348,11590.125
6110,7729,32561.762000000006
6111,4119,18060.984
6112,12546,59646.184
6121,740,4149.401
6122,4375,21966.778000000006
6123,486,2441.8799999999997
6124,275,1219.59
6125,703,4021.4820000000004
6126,55,308.04
6147,2421,8709.938
6148,3136,12788.023000000001
6149,3571,15017.439999999999
6150,2192,9675.765000000001
6151,1500,7718.258
6152,2934,13115.711000000001
6153,2685,13183.964
6154,1668,9082.644
6155,10586,48655.097
6156,2293,10710.888
6157,1688,7294.407999999999
6158,879,4075.2940000000003
6159,265,1418.875
6160,834,3831.014
6161,4,72.9
6162,1609,6210.655
6163,8251,39608.756
6164,11794,54486.60699999999
6165,44,1741.38
6166,1736,9289.478000000001
6167,4835,20367.059000000005
6168,4521,17985.485
6169,7382,27625.391
6170,3052,14116.33
6171,7796,34584.918999999994
6172,2938,12050.543999999998
6173,2461,11106.113000000001
6174,915,4279.212
6175,805,3450.465
6176,361,1944.27
6180,1452,6280.235
6181,141,708.177
6207,296,1617.4350000000002
6208,3385,14098.001
6209,435,1765.805
6210,16674,65212.28599999999
6211,2054,8917.172999999999
6213,149,679.683
6214,146,648.5550000000001
6215,853,4051.92
6218,118,546.545
6219,3,19.83
6220,859,4544.235000000001
6221,49,295.61799999999994
6223,29,136.339
6224,211,1228.322
6225,1593,6573.368
6226,205,972.954
6227,162,665.3449999999999
6228,28,148.12
6229,38,627.44
6230,6433,28987.989999999998
6231,17,45.13
6232,2171,8557.849
6233,3743,15932.865
6236,455,2069.646
6237,569,2489.1279999999997
6239,979,4449.344
6240,51,231.17000000000002
6243,4,15.648
6244,221,1002.465
6251,82,608.516
6252,21,103.16
6253,159,637.541
6254,78,318.03000000000003
6255,703,2956.1560000000004
6256,30,141.57500000000002
6258,736,4204.62
6260,185,1373.0880000000002
6262,122,682.894
6271,760,3267.9529999999995
6275,313,1390.6569999999997
6280,5359,25608.312999999995
6281,1546,8267.311
6282,444,2381.1079999999993
6284,370,2178.0229999999997
6285,1304,6816.612
6286,142,779.961
6288,92,692.081
6290,313,1388.3090000000002
6302,791,3487.2149999999997
6304,431,1630.3250000000003
6306,181,927.2810000000001
6308,292,1469.36
6309,66,328.104
6311,105,444.53000000000003
6312,586,2839.7560000000003
6313,46,197.39
6315,339,1572.76
6316,69,266.22400000000005
6317,451,2109.803
6318,58,257.82099999999997
6320,65,358.74
6321,41,205.28799999999998
6322,32,147.95999999999998
6323,154,646.124
6324,420,2082.548
6326,64,234.97099999999998
6327,39,156.20299999999997
6328,48,220.75
6330,3644,15781.707
6331,2,5.59
6332,6,17.125999999999998
6333,903,3835.9790000000003
6335,108,572.055
6336,47,223.35999999999999
6337,41,220.404
6338,91,470.48300000000006
6341,29,181.408
6343,19,90.725
6346,47,323.477
6348,104,452.80800000000005
6350,61,311.30499999999995
6351,5,23.86
6352,25,202.215
6353,111,616.2849999999999
6355,51,326.995
6356,16,97.285
6357,9,43.015
6358,4,33.355
6359,56,429.55
6361,11,54.55
6363,17,60.34
6365,91,420.72499999999997
6367,39,260.69
6368,11,57.410000000000004
6369,116,702.63
6370,61,229.02500000000003
6372,27,102.935
6373,8,39.655
6375,189,806.546
6383,173,699.8090000000001
6384,4,22.34
6385,4,22.560000000000002
6386,8,35.555
6390,306,1558.7920000000004
6391,124,740.296
6392,72,320.3740000000001
6393,22,86.66999999999999
6394,30,325.635
6395,210,1051.5739999999998
6396,29,225.36
6397,15,81.78
6398,90,435.418
6401,1235,6521.231999999999
6403,40,186.905
6405,44,209.45999999999998
6407,161,1059.586
6409,47,228.29500000000002
6410,150,721.807
6411,15,82.74
6412,6,32.01
6413,7,35.0
6414,5,38.102
6415,447,2278.2920000000004
6418,176,856.5399999999998
6419,9,35.475
6420,6,22.59
6421,15,78.771
6422,3,13.62
6423,58,274.33500000000004
6424,7,41.06
6425,19,125.35
6426,107,570.7549999999999
6427,2,8.25
6428,13,57.385
6429,123,783.4399999999999
6430,1745,10157.895
6431,12,64.885
6432,629,3148.353
6433,7,26.165
6434,13,93.0
6436,12,156.95499999999998
6437,189,328.65000000000003
6438,55,464.055
6440,25,364.68000000000006
6442,142,1025.22
6443,48,386.21500000000003
6445,6,60.505
6446,4,33.17
6447,12,95.215
6448,10,57.725
6450,825,4412.375
6452,1,6.6
6460,132,706.296
6461,85,473.6
6462,10,57.028000000000006
6463,0,0.0
6465,1,2.1
6466,8,43.44
6467,4,20.06
6468,34,302.44
6472,25,188.82000000000002
6473,7,17.68
6475,61,360.82500000000005
6476,5,24.585
6477,31,189.26000000000002
6479,95,504.02500000000003
6480,3,12.52
6484,10,58.42
6485,88,328.865
6487,4,15.795
6488,35,149.765
6489,12,60.870000000000005
6490,29,123.65
6501,264,1588.915
6502,312,1494.616
6503,563,4421.106
6504,33,180.10500000000002
6505,20,77.85300000000001
6506,19,628.17
6507,117,670.27
6509,13,113.22500000000001
6510,292,1654.9099999999999
6511,146,795.559
6512,11,61.55500000000001
6513,23,108.195
6514,193,975.29
6515,46,240.95
6516,528,2890.9739999999993
6517,77,372.24
6518,40,303.925
6519,100,550.019
6521,79,868.0000000000001
6522,95,536.1850000000001
6525,771,3693.221
6528,86,408.355
6530,4820,22636.245
6531,8,36.0
6532,1085,5537.735000000001
6535,310,1390.53
6536,285,1521.2170000000003
6537,90,674.281
6556,396,1651.0079999999998
6558,147,582.414
6560,235,957.73
6562,314,1267.82
6564,87,311.66
6566,885,3346.591
6567,108,366.78499999999997
6568,26,139.58
6569,56,297.36400000000003
6571,8,57.67
6572,6,28.8
6574,6,34.98
6575,16,103.48
6603,171,1179.032
6605,1,6.12
6606,15,73.29
6608,19,88.5
6609,142,949.885
6612,31,203.95999999999998
6613,8,38.86
6614,1,6.6
6616,12,42.36
6620,43,236.35999999999999
6623,96,543.646
6625,5,26.35
6627,7,40.578
6628,8,30.62
6630,81,449.01500000000004
6631,5,32.3
6632,10,41.475
6635,17,184.035
6638,52,343.37999999999994
6639,21,95.701
6640,23,195.6
6642,71,457.398
6643,1,0.96
6646,12,247.856
6701,360,4397.444
6705,21,178.57600000000002
6707,179,2205.598
6710,302,2671.896
6713,61,590.9200000000001
6714,735,6551.186
6716,3,14.18
6718,33,382.645
6720,24,407.82
6721,135,1329.1060000000002
6722,257,1728.8899999999999
6725,479,5783.592
6726,164,1672.181
6728,187,3221.655
6740,31,340.954
6743,297,2878.405
6751,20,249.423
6753,78,1359.085
6754,4,52.36
6758,14,164.90400000000002
6760,36,218.852
6765,30,357.752
6770,31,648.617
6798,127,899.26
6799,13,78.58
6872,1,5.0
6901,2,6.12
6902,1,2.28
6903,3,6.5
6904,2,5.04
6906,3,9.02
6907,2,8.132
6909,4,13.6
6910,2,41.394
6911,3,6.4
6912,4,6.03
6913,1,1.5
6914,4,50.06
6915,3,4.1
6916,3,8.25
6917,1,17.0
6918,3,4.1
6920,2,6.2
6921,8,28.85
6922,9,26.52
6923,6,83.39
6924,5,14.06
6926,8,36.54
6929,2,8.01
6931,3,5.72
6933,5,11.785
6934,3,6.67
6935,2,5.97
6941,1,4.64
6943,2,3.12
6944,4,43.51
6946,5,14.68
6947,1,39.96
6951,2,3.1
6952,4,11.84
6953,6,37.495
6954,4,7.2
6955,15,44.5
6956,1,1.67
6957,3,7.24
6959,5,35.439
6963,4,8.065
6964,6,16.694000000000003
6966,4,53.31
6968,7,19.8
6979,3,7.74
6981,3,8.13
6982,3,9.74
6984,3,4.64
6985,5,15.65
6988,3,4.78
6989,2,6.52
6990,4,12.52
6991,6,15.37
6992,7,19.01
